uid,click_time,pid,param
60943,2016/10/4 12:34,6,5
45424,2016/10/4 12:34,10,26
70001,2016/10/4 12:34,10,28
33968,2016/10/4 12:34,10,16
34976,2016/10/4 12:35,10,33
23639,2016/10/4 12:35,10,29
18781,2016/10/4 12:34,10,16
15814,2016/10/4 12:34,10,16
2985,2016/9/29 17:06,10,28
26062,2016/10/4 12:33,10,28
58375,2016/10/4 12:35,10,16
58375,2016/10/4 12:35,10,16
58375,2016/10/4 12:35,10,16
34752,2016/10/4 12:34,6,1
37521,2016/10/4 12:36,4,1
33117,2016/10/4 12:35,5,10
33117,2016/10/4 12:36,8,1
21068,2016/10/4 12:35,1,45
21068,2016/10/4 12:35,1,19
21068,2016/10/4 12:36,1,19
78944,2016/10/4 12:36,4,1
74188,2016/10/4 12:36,8,1
34752,2016/10/4 12:36,6,5
33117,2016/10/4 12:36,4,1
4981,2016/10/4 12:36,10,16
35296,2016/10/1 18:49,10,33
37521,2016/10/4 12:36,10,30
34920,2016/10/4 12:36,2,4
70937,2016/10/4 12:37,10,16
30161,2016/10/4 12:37,10,16
15190,2016/10/4 12:37,8,1
29049,2016/10/4 12:38,8,1
59879,2016/10/4 12:38,2,4
59879,2016/10/4 12:38,2,4
59879,2016/10/4 12:38,2,4
35296,2016/10/4 12:37,10,28
42097,2016/10/4 12:38,8,1
578,2016/10/4 12:38,10,30
71278,2016/10/4 12:39,3,10
43119,2016/10/3 19:13,10,30
43119,2016/10/3 19:13,10,30
62605,2016/10/4 12:38,8,1
31153,2016/10/4 12:38,10,28
66931,2016/10/4 12:38,1,19
86243,2016/10/4 12:38,10,28
82053,2016/10/4 12:39,1,19
82649,2016/10/4 12:39,10,28
36878,2016/10/4 12:38,10,30
85447,2016/10/4 12:39,8,3
85447,2016/10/4 12:39,10,16
6273,2016/10/4 12:39,8,1
62605,2016/10/4 12:39,10,30
14238,2016/10/3 12:06,8,1
5495,2016/10/3 20:36,10,28
15896,2016/10/4 12:39,10,16
24497,2016/10/4 12:40,4,1
70644,2016/10/4 12:40,8,1
56354,2016/10/4 12:40,10,28
78367,2016/10/4 12:40,10,28
31887,2016/10/4 12:41,9,1
11991,2016/10/4 12:40,1,19
56469,2016/10/4 12:41,10,28
70644,2016/10/4 12:40,10,16
21025,2016/9/27 18:27,10,30
2626,2016/10/4 12:41,1,19
27329,2016/10/4 12:41,10,16
59291,2016/10/4 12:41,8,1
59291,2016/10/4 12:41,8,3
2225,2016/10/4 12:41,10,16
47868,2016/10/4 10:30,10,29
53195,2016/10/4 12:41,10,28
81710,2016/10/4 12:42,10,16
66524,2016/10/4 12:42,10,16
66524,2016/10/4 12:42,10,16
74548,2016/10/4 12:42,10,28
24838,2016/10/4 12:42,10,28
24838,2016/10/4 12:42,10,16
40126,2016/10/4 12:42,1,44
14238,2016/10/4 12:42,10,16
24497,2016/10/4 12:42,9,2
24497,2016/10/4 12:42,9,3
48094,2016/10/4 12:41,3,12
14951,2016/10/4 12:43,10,16
42374,2016/10/4 12:42,10,16
73266,2016/10/4 12:43,10,28
86243,2016/10/4 12:44,10,16
26480,2016/10/4 12:44,6,1
11789,2016/10/4 12:44,8,1
51402,2016/10/3 8:09,10,16
81976,2016/10/4 12:44,10,16
81976,2016/10/4 12:44,10,16
81976,2016/10/4 12:44,10,28
80987,2016/10/4 12:44,10,28
50950,2016/10/4 12:44,8,1
40586,2016/10/4 12:43,10,28
71655,2016/10/4 11:32,10,16
3792,2016/10/4 12:45,2,5
28167,2016/10/4 12:45,8,1
38571,2016/10/4 12:45,2,6
15695,2016/10/4 12:44,10,16
8227,2016/10/4 12:46,10,16
8227,2016/10/4 12:46,10,16
8227,2016/10/4 12:46,10,16
33185,2016/10/4 12:46,10,16
74548,2016/10/4 12:46,10,28
75921,2016/10/4 12:46,10,16
24497,2016/10/4 12:46,10,30
24497,2016/10/4 12:47,9,1
63499,2016/10/4 12:47,10,16
50287,2016/10/4 12:46,10,16
50287,2016/10/4 12:46,10,16
78863,2016/10/4 12:47,10,28
86243,2016/10/4 12:44,10,30
86243,2016/10/4 12:45,10,16
35903,2016/10/4 12:47,8,3
41959,2016/10/4 12:46,10,28
48332,2016/10/4 12:47,8,1
68629,2016/10/4 12:47,1,19
11789,2016/10/4 12:45,2,6
61024,2016/10/4 12:48,7,9
24497,2016/10/4 12:47,6,5
555,2016/10/4 12:47,10,16
14953,2016/10/4 12:47,10,28
28980,2016/10/4 12:48,10,16
7180,2016/10/4 12:48,10,16
24497,2016/10/4 12:48,6,5
14395,2016/10/4 12:48,10,16
28980,2016/10/4 12:48,10,16
67689,2016/10/4 12:48,10,16
13411,2016/10/4 12:48,10,28
90627,2016/10/4 12:49,8,1
70106,2016/10/4 12:49,10,30
54691,2016/10/4 12:49,10,16
1729,2016/10/4 12:49,5,10
73266,2016/10/4 12:48,10,29
1544,2016/10/4 12:49,10,30
49555,2016/10/4 12:49,10,16
84642,2016/10/4 12:50,10,16
84993,2016/10/4 12:49,8,1
35439,2016/10/4 12:49,4,1
12909,2016/10/4 12:50,2,4
61024,2016/10/4 12:50,4,1
13681,2016/10/4 12:50,10,16
26659,2016/10/4 12:50,8,1
2542,2016/10/4 12:50,8,1
31069,2016/10/4 12:50,8,3
31789,2016/10/4 12:51,8,3
42976,2016/10/4 12:51,10,16
52860,2016/10/4 11:34,10,16
14951,2016/10/4 12:52,10,16
14951,2016/10/4 12:52,2,4
33470,2016/10/4 12:58,10,28
55712,2016/10/4 12:53,8,1
84780,2016/10/4 12:51,10,16
84780,2016/10/4 12:52,10,16
69768,2016/10/4 12:52,8,3
14951,2016/10/4 12:53,10,16
20784,2016/10/3 21:56,10,16
66909,2016/10/4 12:53,10,16
54478,2016/10/4 12:53,8,3
52981,2016/10/4 12:53,10,16
52981,2016/10/4 12:53,10,16
1729,2016/10/4 12:53,10,16
35122,2016/10/4 12:54,10,30
17921,2016/10/4 12:54,8,1
69848,2016/10/4 12:54,10,16
89827,2016/10/4 12:53,10,16
67288,2016/10/4 12:54,10,28
38465,2016/10/4 12:54,5,10
66316,2016/10/4 12:54,10,28
66316,2016/10/4 12:54,10,16
66316,2016/10/4 12:54,2,5
85257,2016/10/4 12:54,8,1
1729,2016/10/4 12:55,10,16
33670,2016/10/4 12:53,10,30
66316,2016/10/4 12:55,10,16
69839,2016/10/4 12:55,10,16
27722,2016/10/4 12:55,10,30
27722,2016/10/4 12:55,10,16
27722,2016/10/4 12:56,10,16
47253,2016/10/4 12:55,10,28
85257,2016/10/4 12:55,5,10
88500,2016/10/4 12:55,10,29
88500,2016/10/4 12:55,4,1
88500,2016/10/4 12:55,5,10
68546,2016/10/4 12:56,10,28
37714,2016/10/4 12:56,10,16
37714,2016/10/4 12:56,10,16
70742,2016/10/4 12:56,10,33
52860,2016/10/4 12:56,10,30
88500,2016/10/4 12:56,10,29
355,2016/10/4 12:56,4,1
10245,2016/10/4 12:57,10,28
10754,2016/10/4 12:56,1,30
55796,2016/10/4 12:57,8,1
36332,2016/9/12 14:08,5,10
70589,2016/10/4 7:21,2,5
13474,2016/10/4 12:58,10,16
9413,2016/10/4 12:58,10,30
76713,2016/10/4 12:59,8,3
76713,2016/10/4 12:58,8,3
53327,2016/10/4 12:59,10,28
50499,2016/10/4 12:59,10,28
9413,2016/10/4 12:58,10,28
36332,2016/10/4 12:58,10,16
59698,2016/10/4 12:59,6,1
81135,2016/10/4 12:59,10,16
60643,2016/10/4 12:59,10,30
52547,2016/10/4 12:58,10,16
88500,2016/10/4 13:00,10,31
88500,2016/10/4 12:59,10,33
11431,2016/10/4 12:59,10,28
38889,2016/10/4 12:59,5,10
63758,2016/10/4 13:00,7,9
82465,2016/10/4 13:00,8,3
78524,2016/10/4 13:01,10,16
51994,2016/10/4 13:01,7,9
51994,2016/10/4 13:01,7,4
8561,2016/10/4 13:01,10,16
8443,2016/10/4 10:32,8,1
39336,2016/10/4 13:02,8,1
71923,2016/10/4 13:01,1,19
1224,2016/10/4 13:01,10,28
52785,2016/10/4 13:01,10,16
84464,2016/10/4 13:02,5,10
82465,2016/10/4 13:02,10,16
82465,2016/10/4 13:02,10,16
25088,2016/10/4 13:02,8,1
78524,2016/10/4 13:02,10,28
78524,2016/10/4 13:02,10,28
445,2016/10/4 13:02,10,30
54418,2016/10/4 13:02,10,28
71056,2016/10/4 13:03,10,16
66452,2016/10/4 13:02,10,28
71923,2016/10/4 13:03,1,16
82465,2016/10/4 13:04,10,16
82465,2016/10/4 13:03,10,16
38889,2016/10/4 13:03,2,6
31052,2016/10/4 13:04,8,1
11069,2016/10/4 13:04,5,10
37193,2016/10/4 13:04,10,28
62519,2016/10/4 13:04,8,1
62519,2016/10/4 13:04,8,1
16623,2016/10/4 13:04,10,16
85163,2016/10/4 13:04,10,16
67803,2016/10/4 13:04,10,28
39239,2016/10/4 13:04,8,1
84310,2016/10/4 13:04,10,30
81156,2016/10/4 13:04,5,10
19991,2016/10/4 13:05,6,1
19991,2016/10/4 13:05,4,1
19991,2016/10/4 13:05,6,1
3034,2016/10/4 13:04,10,28
27768,2016/10/4 13:05,9,3
27768,2016/10/4 13:05,9,2
84310,2016/10/4 13:06,5,13
84310,2016/10/4 13:05,5,10
31845,2016/10/4 13:05,10,16
1863,2016/10/4 13:05,10,28
200,2016/10/4 13:06,4,1
30648,2016/10/4 13:04,10,28
19991,2016/10/4 13:05,10,16
75592,2016/10/4 13:06,6,1
51162,2016/10/4 13:06,8,2
49424,2016/10/4 13:07,7,1
51739,2016/10/4 13:06,10,26
74630,2016/10/4 13:06,10,16
21690,2016/10/4 13:07,8,3
1863,2016/10/4 13:06,6,1
39952,2016/10/4 13:07,10,16
90422,2016/10/4 13:08,8,1
90422,2016/10/4 13:08,8,3
24494,2016/10/3 22:43,10,30
72240,2016/10/4 13:07,10,16
87867,2016/10/4 13:08,10,16
87867,2016/10/4 13:08,10,16
67359,2016/10/4 13:05,10,21
67359,2016/10/4 13:06,10,27
21560,2016/10/4 13:07,2,6
44226,2016/10/4 13:08,8,1
44226,2016/10/4 13:08,8,1
76470,2016/10/4 13:05,5,10
22512,2016/10/4 13:09,8,2
22512,2016/10/4 13:09,8,2
27526,2016/10/4 13:08,10,16
51739,2016/10/4 13:07,10,26
29273,2016/10/4 13:08,10,16
53227,2016/10/4 13:08,10,28
71695,2016/10/4 13:08,10,28
71695,2016/10/4 13:09,10,28
6211,2016/10/4 13:09,8,1
6211,2016/10/4 13:09,8,1
49050,2016/10/4 13:09,8,1
31517,2016/10/4 13:10,10,16
45141,2016/10/4 13:10,10,28
6211,2016/10/4 13:09,10,16
58161,2016/10/4 13:10,10,28
67099,2016/10/4 13:11,8,1
24493,2016/10/4 13:11,10,28
52392,2016/10/4 13:11,10,30
78062,2016/10/4 13:11,10,28
58787,2016/10/4 13:11,10,28
11953,2016/10/4 13:11,10,16
59129,2016/10/4 13:11,6,1
71923,2016/10/4 13:11,1,40
80139,2016/10/4 13:12,10,28
29273,2016/10/4 13:11,7,8
90417,2016/10/4 13:12,8,1
52535,2016/10/4 13:12,7,2
7656,2016/10/4 13:12,10,30
58161,2016/10/4 13:12,10,28
71923,2016/10/4 13:13,1,34
537,2016/10/4 13:11,10,28
82649,2016/10/4 13:12,4,1
34403,2016/10/4 13:13,7,2
22227,2016/10/4 13:13,10,16
58161,2016/10/4 13:13,10,28
58161,2016/10/4 13:12,10,28
7701,2016/10/4 13:13,8,1
49691,2016/10/4 13:14,8,1
49691,2016/10/4 13:14,8,1
41076,2016/10/4 13:13,8,1
39710,2016/10/4 13:13,9,1
39710,2016/10/4 13:13,9,1
690,2016/10/4 13:14,8,1
16569,2016/10/4 13:14,8,1
79304,2016/10/4 13:15,10,16
67917,2016/10/4 13:14,10,16
44713,2016/10/4 13:12,1,19
44713,2016/10/4 13:12,1,45
35696,2016/10/4 13:14,8,1
35696,2016/10/4 13:14,8,1
35696,2016/10/4 13:14,8,1
34976,2016/10/4 13:01,10,16
7656,2016/10/4 13:13,10,33
1088,2016/10/4 13:15,10,28
1088,2016/10/4 13:15,10,16
7175,2016/10/4 13:15,6,1
70304,2016/10/4 13:15,10,30
57791,2016/10/4 13:15,2,5
451,2016/10/4 13:15,8,1
20952,2016/10/4 13:15,5,10
78895,2016/10/4 13:15,10,31
67658,2016/10/4 13:16,8,1
6002,2016/10/3 0:58,8,1
53327,2016/10/4 13:15,10,16
87797,2016/10/4 13:16,9,2
87797,2016/10/4 13:16,9,1
58192,2016/9/24 15:01,10,28
62285,2016/10/4 13:16,10,30
62285,2016/10/4 13:16,10,26
47125,2016/10/4 13:16,10,16
44590,2016/10/4 13:16,10,16
62184,2016/10/4 13:17,8,1
20576,2016/10/4 13:17,10,28
37802,2016/10/4 13:17,10,28
65226,2016/10/4 13:17,8,1
2553,2016/10/4 13:17,10,16
83911,2016/10/4 13:17,10,16
83525,2016/10/4 9:53,10,28
83525,2016/10/4 9:52,10,16
36489,2016/10/4 13:18,10,16
59330,2016/10/4 13:18,8,1
65615,2016/10/4 13:18,10,16
65615,2016/10/4 13:18,10,16
11431,2016/10/4 13:16,10,16
11431,2016/10/4 13:16,10,16
52392,2016/10/4 13:18,10,28
79199,2016/10/4 13:18,10,28
618,2016/10/4 13:19,10,28
2167,2016/10/4 13:19,10,16
62184,2016/10/4 13:19,3,8
13186,2016/10/4 13:19,10,17
41919,2016/10/4 13:19,8,1
69992,2016/10/4 13:20,10,28
32655,2016/10/4 13:19,10,16
83221,2016/10/3 22:25,10,29
78378,2016/10/4 13:20,7,9
53327,2016/10/4 13:19,10,16
926,2016/10/4 13:19,10,30
58787,2016/10/4 13:19,1,30
58787,2016/10/4 13:19,1,40
36003,2016/10/4 13:20,2,4
53839,2016/10/4 13:20,8,1
7587,2016/10/4 13:20,10,28
23233,2016/10/4 13:20,8,1
47008,2016/10/4 13:20,8,1
50322,2016/10/4 13:20,10,16
26953,2016/10/4 13:21,10,16
1634,2016/10/4 13:21,10,28
90592,2016/10/3 16:06,10,28
90592,2016/10/3 16:06,10,16
79471,2016/10/4 13:21,8,1
50322,2016/10/4 13:21,10,16
34517,2016/10/4 13:21,10,28
63562,2016/10/4 13:22,10,16
86966,2016/10/4 13:22,10,28
21317,2016/10/4 13:13,7,2
13274,2016/10/4 13:22,10,28
86966,2016/10/4 13:22,10,29
37481,2016/10/4 13:22,10,30
84270,2016/10/4 13:23,10,26
23233,2016/10/4 13:23,8,3
59330,2016/10/4 13:23,10,16
26850,2016/10/4 13:23,10,28
55240,2016/10/4 13:24,8,1
55240,2016/10/4 13:24,8,1
57017,2016/10/4 13:24,10,28
81795,2016/10/4 13:23,1,45
85148,2016/10/4 13:24,10,30
86981,2016/10/4 13:25,8,1
40905,2016/10/4 13:24,10,16
83478,2016/10/4 13:25,10,28
83478,2016/10/4 13:25,10,16
4560,2016/10/4 13:25,10,16
22432,2016/9/27 12:31,8,1
6050,2016/10/4 13:25,10,16
35870,2016/10/4 13:25,2,6
55366,2016/10/4 13:26,10,28
22754,2016/10/4 13:26,10,30
4560,2016/10/4 13:26,10,16
88144,2016/10/4 13:25,10,16
55324,2016/10/4 13:25,10,16
78575,2016/10/4 13:26,10,16
11150,2016/10/4 13:26,10,16
84476,2016/10/4 13:26,8,3
67558,2016/10/4 13:26,10,16
28100,2016/10/4 13:26,10,16
28100,2016/10/4 13:26,10,16
65978,2016/10/4 13:26,7,7
89765,2016/10/4 13:27,4,1
38791,2016/10/4 13:27,5,10
58041,2016/10/4 13:27,8,1
83548,2016/10/4 13:28,5,10
14363,2016/10/4 13:27,10,28
57060,2016/10/4 13:28,10,29
81482,2016/10/4 13:28,10,28
83478,2016/10/4 13:28,9,3
77597,2016/10/4 13:28,9,1
13988,2016/10/4 13:00,10,16
1311,2016/10/4 0:00,10,16
76033,2016/10/2 17:15,9,1
10639,2016/10/4 13:29,10,16
80627,2016/10/4 13:28,8,1
76106,2016/10/4 13:28,8,3
32168,2016/10/4 13:29,4,1
30987,2016/10/4 13:29,10,16
18974,2016/10/4 13:29,10,16
18974,2016/10/4 13:29,5,10
22754,2016/10/4 13:28,5,10
83098,2016/10/4 13:29,8,1
22241,2016/10/4 13:30,10,16
22241,2016/10/4 13:29,8,1
49691,2016/10/4 13:16,10,30
55278,2016/10/4 13:29,8,1
55278,2016/10/4 13:29,8,3
83478,2016/10/4 13:30,10,28
54239,2016/10/4 13:30,10,16
12354,2016/10/4 13:31,2,4
90847,2016/10/4 13:31,2,5
47236,2016/10/4 13:31,10,16
80370,2016/10/4 13:32,10,16
80370,2016/10/4 13:31,10,16
37181,2016/10/4 13:30,7,4
75026,2016/10/4 13:32,10,16
75026,2016/10/4 13:32,10,16
75026,2016/10/4 13:32,10,29
78895,2016/10/4 13:32,10,16
48577,2016/10/4 13:30,10,30
86439,2016/10/4 13:32,10,26
83050,2016/9/29 6:23,10,16
4277,2016/10/4 13:33,2,6
18071,2016/10/4 13:33,8,1
32636,2016/10/4 13:33,10,16
53593,2016/10/4 13:33,1,34
50195,2016/10/4 9:07,8,1
50195,2016/10/4 9:07,8,1
71152,2016/10/4 13:33,8,1
90174,2016/10/4 13:35,4,1
61209,2016/10/4 13:35,8,1
75592,2016/10/4 13:35,10,28
18974,2016/10/4 13:35,10,28
71508,2016/10/4 13:36,10,16
90174,2016/10/4 13:36,10,16
18974,2016/10/4 13:36,10,33
17484,2016/10/4 13:36,8,1
76379,2016/10/4 13:36,10,16
76379,2016/10/4 13:36,10,16
49150,2016/10/4 13:36,8,1
40716,2016/10/4 13:37,1,30
52282,2016/10/4 13:37,10,16
90323,2016/10/4 13:37,8,1
52155,2016/10/4 13:37,10,16
52155,2016/10/4 13:37,10,16
71152,2016/10/4 13:38,8,1
90174,2016/10/4 13:37,10,28
63970,2016/10/4 13:38,10,33
63970,2016/10/4 13:38,10,30
34589,2016/10/1 9:21,6,1
63815,2016/10/4 13:39,8,1
63815,2016/10/4 13:39,8,1
68785,2016/10/4 13:38,8,1
60024,2016/10/4 13:38,10,16
31063,2016/10/4 13:39,10,16
50214,2016/10/4 13:39,10,16
45936,2016/10/4 13:38,10,28
60024,2016/10/4 13:39,8,1
60024,2016/10/4 13:39,8,1
69921,2016/10/4 13:56,10,16
36952,2016/10/4 13:40,8,1
36952,2016/10/4 13:40,10,28
20341,2016/10/4 13:41,10,16
74689,2016/10/4 13:41,7,7
39390,2016/10/4 13:40,10,30
23549,2016/10/4 13:40,10,28
78814,2016/10/4 13:41,10,16
83002,2016/10/4 13:41,2,6
63970,2016/10/4 13:40,10,33
34589,2016/10/4 13:41,10,16
34589,2016/10/4 13:41,8,1
76198,2016/10/4 13:41,10,28
35173,2016/10/4 13:42,3,12
9525,2016/10/4 13:41,8,3
57227,2016/10/4 13:41,7,2
28699,2016/10/4 10:53,6,1
90481,2016/10/4 13:41,10,16
58736,2016/10/4 13:43,10,16
58736,2016/10/4 13:43,10,16
80627,2016/10/4 13:42,8,1
69045,2016/10/4 13:43,10,28
80627,2016/10/4 13:43,8,1
53817,2016/10/4 13:43,10,28
1560,2016/10/4 13:44,10,16
1560,2016/10/4 13:44,10,28
49150,2016/10/4 13:45,1,40
66223,2016/10/4 13:45,8,1
16440,2016/10/4 13:45,8,1
16440,2016/10/4 13:45,10,30
58682,2016/10/4 13:46,8,1
26251,2016/10/4 13:46,10,30
26251,2016/10/4 13:46,10,30
66925,2016/10/4 13:46,4,1
87733,2016/10/4 13:46,10,28
49302,2016/10/4 13:46,10,16
52827,2016/10/4 13:45,10,28
31985,2016/10/4 13:46,10,16
31985,2016/10/4 13:46,10,16
73259,2016/10/4 13:46,10,28
34112,2016/10/4 13:46,10,16
70433,2016/10/4 13:45,10,30
55957,2016/10/4 13:48,8,1
21737,2016/10/4 0:13,8,1
21737,2016/10/4 0:13,8,1
85455,2016/10/4 13:48,10,33
85455,2016/10/4 13:48,10,30
66973,2016/10/4 13:46,6,1
66973,2016/10/4 13:47,6,5
47103,2016/10/4 13:50,10,28
47103,2016/10/4 13:50,10,16
64289,2016/10/4 13:48,10,30
76220,2016/10/4 13:49,10,26
77100,2016/10/4 13:49,2,4
56177,2016/10/4 13:50,10,28
4131,2016/10/4 13:50,8,1
26128,2016/10/4 13:50,10,29
68457,2016/10/4 13:50,5,10
363,2016/10/4 13:50,10,16
26128,2016/10/4 13:50,10,29
33931,2016/10/4 13:51,10,28
68457,2016/10/4 13:51,6,1
61017,2016/10/4 13:51,6,5
61017,2016/10/4 13:51,4,1
85449,2016/10/4 13:51,10,16
23005,2016/10/4 13:51,7,2
60426,2016/10/4 13:51,10,28
12660,2016/10/4 13:51,10,16
37428,2016/10/4 13:52,10,28
79303,2016/10/4 13:52,2,6
79303,2016/10/4 13:52,2,4
81436,2016/10/4 13:52,5,10
36878,2016/10/4 13:52,3,13
29861,2016/10/4 13:51,10,28
4234,2016/9/26 13:02,10,16
19040,2016/10/4 13:51,10,28
11604,2016/10/4 13:53,10,16
25479,2016/10/4 13:53,10,30
23011,2016/10/4 13:54,10,30
33416,2016/10/4 13:53,1,14
1638,2016/10/4 13:54,10,16
2225,2016/10/4 13:54,8,1
35225,2016/10/4 13:55,10,26
80848,2016/10/4 13:55,6,5
22421,2016/10/4 13:54,10,28
65274,2016/10/4 13:54,4,1
65767,2016/10/4 13:55,10,28
22540,2016/10/4 13:56,10,28
22540,2016/10/4 13:55,10,28
22540,2016/10/4 13:55,10,16
23385,2016/10/4 13:56,8,1
23011,2016/10/4 13:55,9,2
89834,2016/10/4 13:57,10,31
16547,2016/10/4 13:57,7,4
70530,2016/10/4 13:57,10,28
33363,2016/10/4 13:57,10,28
25165,2016/10/4 13:59,10,28
25165,2016/10/4 13:59,8,1
17327,2016/10/4 13:59,8,1
6891,2016/10/4 13:59,10,16
73689,2016/10/4 13:59,8,1
38607,2016/10/4 14:00,10,33
21018,2016/10/4 13:59,1,19
52375,2016/10/4 14:00,10,16
81458,2016/10/4 14:00,10,28
81458,2016/10/4 14:00,10,16
39398,2016/9/27 8:23,10,16
68087,2016/10/4 14:01,10,16
62084,2016/10/4 14:01,10,28
85308,2016/10/4 14:01,10,30
84738,2016/10/4 14:01,8,1
84487,2016/10/4 14:01,10,16
39271,2016/10/4 14:02,10,28
1598,2016/10/4 14:01,10,16
43484,2016/10/4 14:02,8,1
63298,2016/10/4 14:02,10,16
43484,2016/10/4 14:03,10,16
50474,2016/10/4 14:03,10,33
28200,2016/10/4 14:03,8,1
7005,2016/9/25 12:44,5,10
89463,2016/10/4 14:04,8,1
17346,2016/10/4 14:03,10,16
17346,2016/10/4 14:03,10,16
43008,2016/10/4 14:03,8,1
43008,2016/10/4 14:03,8,1
15308,2016/10/4 14:04,8,3
87039,2016/10/4 14:04,8,2
87039,2016/10/4 14:04,8,1
87039,2016/10/4 14:04,8,2
87039,2016/10/4 14:04,8,1
22846,2016/10/1 16:44,10,28
79885,2016/10/4 14:04,10,16
15308,2016/10/4 14:04,8,3
34240,2016/10/4 14:04,10,28
39398,2016/10/4 14:03,7,2
22282,2016/10/4 14:04,5,10
86195,2016/10/4 14:04,10,16
19243,2016/9/30 20:08,8,1
7005,2016/10/4 14:04,8,1
42426,2016/10/4 14:03,8,1
4322,2016/10/4 14:04,6,5
28200,2016/10/4 14:04,8,1
45065,2016/10/4 14:05,8,3
45065,2016/10/4 14:05,8,1
40795,2016/10/4 14:05,10,16
64547,2016/10/4 14:05,10,30
77803,2016/10/4 14:04,10,26
56719,2016/10/4 14:05,1,30
86195,2016/10/4 14:05,10,16
22846,2016/10/4 14:05,10,28
22846,2016/10/4 14:05,10,28
30640,2016/10/4 14:05,10,16
12431,2016/10/4 14:05,8,1
85733,2016/10/4 14:06,4,1
70440,2016/10/4 14:06,10,16
22282,2016/10/4 14:06,10,28
22282,2016/10/4 14:06,10,16
68680,2016/10/4 14:06,10,16
52399,2016/10/4 14:06,10,30
21260,2016/10/4 14:06,10,16
85086,2016/10/4 14:06,10,28
72020,2016/10/4 14:07,4,1
72020,2016/10/4 14:06,4,1
