uid	loan_time	loan_amount	plannum
23442	2016/8/3 9:59	5.722768363	1
74548	2016/8/3 10:02	5.226703564	1
55050	2016/8/3 10:03	5.292153929	1
39777	2016/8/3 10:03	4.292650699	1
895	2016/8/3 10:07	5.292153929	1
22599	2016/8/3 10:10	4.292650699	1
90116	2016/8/3 10:13	5.781982259	1
88635	2016/8/3 10:13	5.722768363	12
35248	2016/8/3 10:13	4.974842946	1
59201	2016/8/3 10:13	6.153413856	6
28647	2016/8/3 10:15	6.584074882	3
79457	2016/8/3 10:17	5.405415974	1
18222	2016/8/3 10:18	3.862594545	1
86493	2016/8/3 10:20	6.405333138	3
24873	2016/8/3 10:22	5.97467729	1
29190	2016/8/3 10:21	4.974842946	1
5140	2016/8/3 10:24	4.974842946	1
21824	2016/8/3 10:25	5.97467729	12
14256	2016/8/3 10:29	4.292650699	6
76155	2016/8/3 10:30	4.753317069	1
13632	2016/8/3 10:31	5.292153929	6
61530	2016/8/3 10:31	5.781982259	1
34334	2016/8/3 10:32	4.974842946	1
41662	2016/8/3 10:33	4.292650699	3
42369	2016/8/3 10:32	5.722768363	12
3412	2016/8/3 10:33	3.862594545	12
14256	2016/8/3 10:39	4.292650699	6
85596	2016/8/3 10:43	4.723016822	1
63672	2016/8/3 10:44	6.405333138	12
11529	2016/8/3 10:44	5.722768363	12
72887	2016/8/3 10:46	6.153413856	1
57817	2016/8/3 10:50	5.226703564	1
27369	2016/8/3 10:54	4.974842946	12
22522	2016/8/3 10:55	4.292650699	1
13727	2016/8/3 10:59	4.753317069	1
80296	2016/8/3 11:02	3.862594545	1
51818	2016/8/3 11:04	6.153413856	12
59488	2016/8/3 11:07	4.292650699	3
65833	2016/8/3 11:13	3.975670565	1
34292	2016/8/3 11:12	3.975670565	1
90782	2016/8/3 11:18	3.862594545	1
48725	2016/8/3 11:21	4.723016822	3
48387	2016/8/3 11:29	6.405333138	12
43756	2016/8/3 11:29	5.836040761	12
17609	2016/8/3 11:31	4.292650699	1
11520	2016/8/3 11:44	5.31651835	1
47236	2016/8/3 11:46	5.153538105	1
39392	2016/8/3 11:50	5.292153929	12
55030	2016/8/3 12:00	5.292153929	1
13704	2016/8/3 12:03	6.087953139	3
38617	2016/8/3 12:10	4.071302059	1
62427	2016/8/3 12:12	4.974842946	3
43045	2016/8/3 12:12	3.862594545	3
39881	2016/8/3 12:12	3.862594545	1
8141	2016/8/3 12:16	5.584137011	12
85738	2016/8/3 12:15	3.862594545	3
65879	2016/8/3 12:15	4.071302059	3
39827	2016/8/3 12:16	3.862594545	1
17507	2016/8/3 12:29	3.862594545	1
74045	2016/8/3 12:31	3.862594545	1
55852	2016/8/3 12:36	5.07059257	3
54664	2016/8/3 12:36	4.292650699	1
10798	2016/8/3 12:36	5.722768363	12
2735	2016/8/3 12:40	4.292650699	6
73435	2016/8/3 12:41	4.351813812	1
64638	2016/8/3 12:41	4.723016822	12
75100	2016/8/3 12:43	4.723016822	3
28820	2016/8/3 12:44	4.292650699	1
45589	2016/8/3 12:49	4.909401781	6
9782	2016/8/3 12:49	3.862594545	1
84797	2016/8/3 12:52	5.292153929	12
57300	2016/8/3 12:53	4.292650699	1
89881	2016/8/3 12:56	5.292153929	12
69571	2016/8/3 12:59	5.292153929	1
16274	2016/8/3 12:59	4.292650699	12
30243	2016/8/3 13:00	5.292153929	1
2814	2016/8/3 13:04	5.405415974	1
46583	2016/8/3 13:06	5.657311097	6
18556	2016/8/3 13:06	3.862594545	3
65879	2016/8/3 13:11	4.154158974	1
59837	2016/8/3 13:16	4.544373396	1
2319	2016/8/3 13:17	4.974842946	12
88359	2016/8/3 13:19	5.885770109	3
26316	2016/8/3 13:24	4.292650699	1
21220	2016/8/3 13:30	5.226703564	1
56042	2016/8/3 13:34	4.292650699	1
90481	2016/8/3 13:37	6.292054527	1
27834	2016/8/3 13:38	4.292650699	1
7202	2016/8/3 13:43	5.405415974	1
81989	2016/8/3 13:46	3.862594545	1
71152	2016/8/3 13:49	4.723016822	6
87636	2016/8/3 13:54	4.723016822	1
26784	2016/8/3 13:55	4.292650699	3
41256	2016/8/3 14:00	3.862594545	1
6147	2016/8/3 14:03	4.974842946	1
23598	2016/8/3 14:07	6.405333138	1
30745	2016/8/3 14:08	4.974842946	1
71186	2016/8/3 14:09	3.862594545	1
33971	2016/8/3 14:13	4.40582999	1
30724	2016/8/3 14:23	5.501180385	1
61841	2016/8/3 14:25	5.183845743	12
75613	2016/8/3 14:27	3.862594545	1
22462	2016/8/3 14:28	5.31651835	6
19722	2016/8/3 14:30	5.722768363	1
70389	2016/8/3 14:36	6.405333138	1
52172	2016/8/3 14:36	5.722768363	1
33148	2016/8/3 14:41	3.862594545	1
39414	2016/8/3 14:45	4.292650699	1
58430	2016/8/3 14:50	6.153413856	1
66247	2016/8/3 14:52	4.723016822	3
12018	2016/8/3 14:58	4.292650699	12
49093	2016/8/3 15:02	3.862594545	1
6690	2016/8/3 15:06	3.862594545	1
16423	2016/8/3 15:08	6.153413856	12
16423	2016/8/3 15:09	6.153413856	12
18222	2016/8/3 15:12	4.154158974	1
76617	2016/8/3 15:20	3.862594545	1
17326	2016/8/3 15:20	4.292650699	1
88481	2016/8/3 15:21	4.723016822	1
69478	2016/8/3 15:25	4.292650699	1
41436	2016/8/3 15:41	6.153413856	12
16135	2016/8/3 15:42	6.405333138	6
62317	2016/8/3 15:42	3.862594545	1
6225	2016/8/3 15:46	5.153538105	6
64804	2016/8/3 15:50	5.292153929	12
17144	2016/8/3 15:51	3.862594545	1
10537	2016/8/3 15:53	3.862594545	12
73026	2016/8/3 15:53	4.154158974	1
70593	2016/8/3 15:54	4.723016822	6
65647	2016/8/3 15:58	4.154158974	1
74147	2016/8/3 15:59	5.373551108	12
62064	2016/8/3 16:01	4.809815297	6
84772	2016/8/3 16:06	5.292153929	12
1629	2016/8/3 16:12	5.153538105	12
89902	2016/8/3 16:13	4.8616016	12
85374	2016/8/3 16:19	5.836040761	6
69124	2016/8/3 16:24	4.40582999	1
46918	2016/8/3 16:25	3.862594545	3
29473	2016/8/3 16:28	3.862594545	6
26433	2016/8/3 16:31	4.292650699	3
68385	2016/8/3 16:45	5.292153929	1
84519	2016/8/3 16:46	5.657311097	12
62781	2016/8/3 16:46	6.584074882	1
641	2016/8/3 16:46	5.292153929	1
40869	2016/8/3 16:47	4.723016822	3
55582	2016/8/3 16:50	3.862594545	1
43855	2016/8/3 16:51	5.292153929	1
20953	2016/8/3 16:54	3.862594545	1
22905	2016/8/3 16:58	5.292153929	1
43855	2016/8/3 17:04	5.292153929	1
17222	2016/8/3 17:10	5.690901317	1
4737	2016/8/3 17:15	3.975670565	1
1787	2016/8/3 17:18	4.071302059	12
68329	2016/8/3 17:18	3.862594545	3
82309	2016/8/3 17:21	3.862594545	3
6647	2016/8/3 17:22	4.974842946	1
14939	2016/8/3 17:25	5.292153929	12
27667	2016/8/3 17:27	5.137811248	6
24005	2016/8/3 17:30	3.862594545	1
43348	2016/8/3 17:31	4.809815297	1
72018	2016/8/3 17:38	4.227255494	6
63254	2016/8/3 17:43	4.292650699	1
60792	2016/8/3 17:48	4.657587153	12
38062	2016/8/3 17:57	4.723016822	12
89448	2016/8/3 17:59	4.974842946	6
29505	2016/8/3 18:06	3.862594545	1
23034	2016/8/3 18:12	3.862594545	6
22165	2016/8/3 18:18	4.292650699	1
81669	2016/8/3 18:25	5.292153929	1
13977	2016/8/3 18:38	4.455523524	1
46329	2016/8/3 18:38	3.975670565	3
74633	2016/8/3 18:43	5.351362178	1
74633	2016/8/3 18:44	5.292153929	1
81669	2016/8/3 18:46	5.292153929	1
68199	2016/8/3 18:48	3.862594545	1
22348	2016/8/3 18:53	5.07059257	3
62064	2016/8/3 18:54	4.544373396	6
32736	2016/8/3 18:56	5.722768363	12
31759	2016/8/3 18:59	5.931812567	12
17075	2016/8/3 18:59	4.723016822	1
13852	2016/8/3 19:02	4.292650699	1
17362	2016/8/3 19:05	5.722768363	1
29283	2016/8/3 19:07	4.071302059	1
39793	2016/8/3 19:17	5.931812567	1
34126	2016/8/3 19:19	3.862594545	6
46519	2016/8/3 19:20	5.292153929	1
17846	2016/8/3 19:21	5.710216983	1
19764	2016/8/3 19:43	5.584137011	1
74913	2016/8/3 19:46	4.292650699	1
80247	2016/8/3 19:47	5.292153929	12
2898	2016/8/3 19:49	4.974842946	3
48197	2016/8/3 19:51	4.974842946	12
2898	2016/8/3 19:54	5.153538105	6
30509	2016/8/3 19:55	4.292650699	3
80905	2016/8/3 19:58	4.8616016	1
20998	2016/8/3 19:58	5.781982259	12
16404	2016/8/3 20:15	4.292650699	1
34549	2016/8/3 20:16	3.862594545	1
70239	2016/8/3 20:28	3.862594545	1
20115	2016/8/3 20:29	5.292153929	1
32534	2016/8/3 20:29	5.292153929	1
20858	2016/8/3 20:30	4.723016822	1
57379	2016/8/3 20:35	4.292650699	3
29787	2016/8/3 20:36	5.405415974	1
69317	2016/8/3 20:46	5.292153929	6
24680	2016/8/3 20:59	5.836040761	1
70640	2016/8/3 21:00	5.292153929	12
75645	2016/8/3 21:02	3.975670565	1
38222	2016/8/3 21:06	4.723016822	12
8441	2016/8/3 21:12	4.292650699	1
39998	2016/8/3 21:17	5.266794974	1
8441	2016/8/3 21:20	4.292650699	1
81804	2016/8/3 21:21	5.54404215	1
21337	2016/8/3 21:35	5.153538105	1
62272	2016/8/3 21:36	3.862594545	1
81804	2016/8/3 21:46	5.54404215	1
41171	2016/8/3 21:51	3.862594545	12
28931	2016/8/3 21:51	5.292153929	12
4114	2016/8/3 21:52	4.292650699	3
79570	2016/8/3 21:59	4.292650699	1
36341	2016/8/3 21:59	3.862594545	1
25921	2016/8/3 22:16	4.292650699	12
13496	2016/8/3 22:26	4.292650699	12
45566	2016/8/3 22:38	4.292650699	3
18719	2016/8/3 22:46	3.862594545	12
42008	2016/8/3 22:49	3.862594545	1
17226	2016/8/3 22:51	4.544373396	1
62345	2016/8/3 23:14	4.974842946	12
73961	2016/8/3 23:26	5.722768363	12
35870	2016/8/4 0:11	6.584074882	12
33205	2016/8/4 0:19	4.723016822	1
29384	2016/8/4 0:20	4.953785867	1
60357	2016/8/4 0:24	4.974842946	1
25271	2016/8/4 0:55	3.862594545	1
78090	2016/8/4 2:53	3.862594545	12
76144	2016/8/4 3:25	5.362555688	1
76144	2016/8/4 3:31	4.974842946	1
45823	2016/8/4 3:55	4.974842946	1
58773	2016/8/4 5:19	5.153538105	12
6539	2016/8/4 5:30	5.292153929	1
79051	2016/8/4 6:33	3.862594545	1
65636	2016/8/4 6:44	4.723016822	12
13063	2016/8/4 6:55	4.974842946	1
73004	2016/8/4 7:12	4.723016822	6
77634	2016/8/4 7:16	6.183727411	6
19453	2016/8/4 7:28	4.292650699	12
2417	2016/8/4 7:41	3.862594545	1
58602	2016/8/4 7:43	4.071302059	1
4909	2016/8/4 7:45	4.455523524	12
81968	2016/8/4 7:47	4.292650699	6
89343	2016/8/4 7:49	4.974842946	1
58761	2016/8/4 7:54	4.723016822	1
72229	2016/8/4 7:57	6.206956505	1
5788	2016/8/4 7:59	4.292650699	3
52827	2016/8/4 8:06	3.862594545	1
6026	2016/8/4 8:08	3.862594545	1
53971	2016/8/4 8:10	4.723016822	1
12330	2016/8/4 8:13	3.862594545	1
62629	2016/8/4 8:14	3.862594545	1
116	2016/8/4 8:17	5.584137011	1
27667	2016/8/4 8:35	5.328351404	1
18371	2016/8/4 8:38	4.292650699	1
36269	2016/8/4 8:42	4.071302059	1
53165	2016/8/4 8:49	4.455523524	12
81468	2016/8/4 8:50	6.153413856	1
4188	2016/8/4 8:56	6.584074882	6
48048	2016/8/4 9:01	5.722768363	1
29203	2016/8/4 9:05	6.014774739	1
61382	2016/8/4 9:06	3.975670565	1
14748	2016/8/4 9:10	5.722768363	1
25186	2016/8/4 9:12	5.153538105	12
5426	2016/8/4 9:15	3.862594545	1
66650	2016/8/4 9:18	3.862594545	1
57689	2016/8/4 9:21	3.862594545	1
79715	2016/8/4 9:22	4.974842946	6
12210	2016/8/4 9:24	4.292650699	6
13069	2016/8/4 9:28	4.292650699	1
55632	2016/8/4 9:30	5.405415974	1
44760	2016/8/4 9:30	5.722768363	12
27553	2016/8/4 9:33	4.292650699	1
62196	2016/8/4 9:36	4.723016822	1
40643	2016/8/4 9:36	4.544373396	1
16021	2016/8/4 9:39	5.97467729	12
72935	2016/8/4 9:40	3.862594545	1
11862	2016/8/4 9:48	5.153538105	1
73943	2016/8/4 9:50	4.154158974	1
84255	2016/8/4 9:52	4.544373396	1
67520	2016/8/4 10:01	4.292650699	12
38765	2016/8/4 10:01	6.070450575	12
13515	2016/8/4 10:03	4.723016822	3
44454	2016/8/4 10:06	4.723016822	12
34481	2016/8/4 10:06	6.153413856	3
70469	2016/8/4 10:08	4.974842946	1
71023	2016/8/4 10:08	6.464550799	12
64898	2016/8/4 10:09	4.974842946	1
73364	2016/8/4 10:11	4.292650699	1
60807	2016/8/4 10:12	4.154158974	1
54313	2016/8/4 10:12	3.975670565	1
9364	2016/8/4 10:17	5.722768363	1
67179	2016/8/4 10:17	5.722768363	1
59600	2016/8/4 10:17	5.292153929	1
1725	2016/8/4 10:21	4.227255494	1
68146	2016/8/4 10:22	5.931812567	12
86293	2016/8/4 10:39	5.292153929	12
39376	2016/8/4 10:39	4.501535282	1
58590	2016/8/4 10:41	5.722768363	12
82599	2016/8/4 10:42	5.121675962	1
25821	2016/8/4 10:45	4.071302059	1
22168	2016/8/4 10:49	5.722768363	6
69124	2016/8/4 10:51	3.862594545	1
29787	2016/8/4 10:51	5.183845743	1
32687	2016/8/4 10:53	5.292153929	3
35752	2016/8/4 10:54	5.722768363	12
32452	2016/8/4 10:56	5.292153929	1
33994	2016/8/4 10:58	4.455523524	1
39444	2016/8/4 10:59	3.862594545	1
7365	2016/8/4 11:06	6.05244065	1
19857	2016/8/4 11:16	4.501535282	3
33205	2016/8/4 11:19	3.862594545	1
44002	2016/8/4 11:26	4.974842946	12
79559	2016/8/4 11:30	4.292650699	1
2547	2016/8/4 11:32	3.862594545	1
61282	2016/8/4 11:35	5.405415974	1
30040	2016/8/4 11:37	5.501180385	1
72527	2016/8/4 11:42	6.153413856	12
10172	2016/8/4 11:44	4.292650699	1
39043	2016/8/4 11:50	5.292153929	1
31294	2016/8/4 11:57	4.974842946	3
43702	2016/8/4 12:07	6.153413856	1
57424	2016/8/4 12:09	5.07059257	6
65461	2016/8/4 12:10	4.657587153	6
5958	2016/8/4 12:09	4.292650699	1
29018	2016/8/4 12:10	3.975670565	1
76364	2016/8/4 12:12	5.722768363	1
50794	2016/8/4 12:13	4.292650699	1
41048	2016/8/4 12:21	3.862594545	1
26959	2016/8/4 12:24	3.862594545	6
8235	2016/8/4 12:25	5.657311097	1
89794	2016/8/4 12:34	5.584137011	3
13202	2016/8/4 12:35	4.723016822	6
13656	2016/8/4 12:35	6.153413856	1
79360	2016/8/4 12:35	5.405415974	1
913	2016/8/4 12:35	5.292153929	6
37951	2016/8/4 12:44	4.723016822	1
67308	2016/8/4 12:44	4.723016822	1
5018	2016/8/4 12:48	4.753317069	1
50953	2016/8/4 12:49	4.809815297	3
75613	2016/8/4 12:51	5.292153929	1
29339	2016/8/4 12:52	5.153538105	12
77306	2016/8/4 12:53	3.862594545	1
65625	2016/8/4 12:56	4.723016822	1
49378	2016/8/4 12:58	5.722768363	1
17103	2016/8/4 12:59	3.862594545	1
31870	2016/8/4 13:01	5.584137011	1
38643	2016/8/4 13:06	5.292153929	12
7944	2016/8/4 13:14	3.862594545	1
4783	2016/8/4 13:20	4.455523524	1
14080	2016/8/4 13:20	5.153538105	3
13042	2016/8/4 13:25	4.974842946	1
89336	2016/8/4 13:28	3.862594545	1
47189	2016/8/4 13:28	3.862594545	1
23401	2016/8/4 13:30	6.153413856	1
78896	2016/8/4 13:31	4.292650699	12
80841	2016/8/4 13:37	5.722768363	12
34176	2016/8/4 13:40	5.931812567	1
51891	2016/8/4 13:40	5.153538105	6
60891	2016/8/4 13:49	5.292153929	1
32950	2016/8/4 13:50	4.292650699	1
72847	2016/8/4 13:51	5.621800638	1
1989	2016/8/4 13:52	6.643293014	12
82823	2016/8/4 13:54	4.292650699	12
9144	2016/8/4 13:59	4.292650699	12
16398	2016/8/4 14:00	4.292650699	1
60891	2016/8/4 14:02	5.153538105	1
35989	2016/8/4 14:06	4.292650699	1
37824	2016/8/4 14:11	4.953785867	12
5153	2016/8/4 14:12	6.153413856	12
41227	2016/8/4 14:15	3.862594545	1
9144	2016/8/4 14:18	5.153538105	12
38788	2016/8/4 14:30	6.384269633	1
14210	2016/8/4 14:35	4.292650699	12
73874	2016/8/4 14:35	3.862594545	1
45296	2016/8/4 14:38	3.862594545	1
8723	2016/8/4 14:41	5.405415974	3
32144	2016/8/4 14:43	4.974842946	1
17483	2016/8/4 14:45	4.292650699	1
30728	2016/8/4 14:47	4.974842946	1
77939	2016/8/4 14:51	5.657311097	1
23015	2016/8/4 14:52	5.292153929	12
46208	2016/8/4 15:07	5.292153929	3
74651	2016/8/4 15:17	4.071302059	3
57892	2016/8/4 15:22	4.723016822	1
39443	2016/8/4 15:26	4.723016822	1
18866	2016/8/4 15:28	5.153538105	3
13337	2016/8/4 15:33	4.974842946	1
20070	2016/8/4 15:35	5.07059257	1
72730	2016/8/4 15:42	6.83599934	1
36761	2016/8/4 15:45	4.974842946	6
50204	2016/8/4 15:54	4.723016822	12
60560	2016/8/4 15:57	4.8616016	1
76368	2016/8/4 16:07	3.975670565	6
61148	2016/8/4 16:07	5.153538105	1
58486	2016/8/4 16:09	5.722768363	1
86742	2016/8/4 16:09	5.51868147	12
35735	2016/8/4 16:11	4.584447562	1
27729	2016/8/4 16:17	6.153413856	3
63374	2016/8/4 16:16	6.292054527	3
80266	2016/8/4 16:17	4.544373396	1
57715	2016/8/4 16:18	5.153538105	1
81632	2016/8/4 16:20	4.931990053	3
86028	2016/8/4 16:26	4.974842946	1
4647	2016/8/4 16:36	3.862594545	12
40591	2016/8/4 16:36	4.292650699	1
78661	2016/8/4 16:39	4.723016822	1
50778	2016/8/4 16:39	4.974842946	3
80339	2016/8/4 16:40	4.723016822	1
38045	2016/8/4 16:44	4.292650699	1
60318	2016/8/4 16:47	5.292153929	1
5473	2016/8/4 16:50	4.292650699	6
32473	2016/8/4 16:50	3.862594545	1
80876	2016/8/4 16:53	4.622092928	1
28984	2016/8/4 17:02	4.723016822	12
29928	2016/8/4 17:07	4.622092928	3
67890	2016/8/4 17:22	4.292650699	1
72714	2016/8/4 17:24	5.153538105	1
80984	2016/8/4 17:24	3.862594545	1
44499	2016/8/4 17:24	5.966337658	12
30021	2016/8/4 17:26	5.253716509	1
73716	2016/8/4 17:28	3.862594545	1
26081	2016/8/4 17:28	5.153538105	1
11516	2016/8/4 17:37	5.722768363	12
82040	2016/8/4 17:38	6.405333138	1
36257	2016/8/4 17:42	4.974842946	1
49135	2016/8/4 17:42	4.974842946	1
2251	2016/8/4 17:44	3.862594545	1
45543	2016/8/4 17:45	4.292650699	1
39242	2016/8/4 17:47	3.862594545	12
75897	2016/8/4 17:54	5.292153929	3
63466	2016/8/4 17:54	3.862594545	1
71186	2016/8/4 18:04	3.862594545	1
76055	2016/8/4 18:04	3.862594545	1
39836	2016/8/4 18:05	4.622092928	1
11686	2016/8/4 18:07	5.657311097	1
36910	2016/8/4 18:10	3.862594545	1
72667	2016/8/4 18:20	4.723016822	12
16540	2016/8/4 18:21	3.862594545	1
14925	2016/8/4 18:27	4.723016822	1
63898	2016/8/4 18:31	3.862594545	1
82620	2016/8/4 18:45	3.862594545	1
2186	2016/8/4 18:53	3.862594545	12
2186	2016/8/4 18:54	3.862594545	12
55281	2016/8/4 18:58	5.501180385	1
41266	2016/8/4 19:02	3.862594545	1
49254	2016/8/4 19:08	3.862594545	1
55325	2016/8/4 19:11	4.691162849	6
34358	2016/8/4 19:15	3.975670565	1
34753	2016/8/4 19:29	3.862594545	1
10664	2016/8/4 19:30	5.722768363	12
18062	2016/8/4 19:34	6.292054527	3
79943	2016/8/4 19:35	3.862594545	1
10430	2016/8/4 19:44	5.226703564	6
85596	2016/8/4 19:51	5.405415974	1
63090	2016/8/4 20:02	4.974842946	12
46422	2016/8/4 20:10	4.723016822	12
43620	2016/8/4 20:12	4.154158974	1
72217	2016/8/4 20:13	4.974842946	3
60019	2016/8/4 20:15	5.501180385	1
84680	2016/8/4 20:14	4.292650699	1
84680	2016/8/4 20:17	4.292650699	1
13130	2016/8/4 20:16	3.862594545	1
15799	2016/8/4 20:21	3.862594545	1
4311	2016/8/4 20:28	4.292650699	12
48408	2016/8/4 20:32	4.292650699	3
52215	2016/8/4 20:36	5.07059257	1
57089	2016/8/4 20:52	3.862594545	1
72001	2016/8/4 20:53	4.723016822	12
77371	2016/8/4 20:56	5.292153929	1
43677	2016/8/4 21:17	4.544373396	6
15049	2016/8/4 21:17	4.292650699	1
36039	2016/8/4 21:27	4.723016822	12
66270	2016/8/4 21:32	5.292153929	1
72751	2016/8/4 21:33	5.722768363	12
33934	2016/8/4 21:34	5.405415974	12
68199	2016/8/4 21:36	4.154158974	1
87565	2016/8/4 21:38	4.974842946	12
68199	2016/8/4 21:39	3.862594545	1
61921	2016/8/4 21:40	5.657311097	12
10444	2016/8/4 21:42	3.862594545	1
31680	2016/8/4 21:43	3.862594545	12
13382	2016/8/4 21:46	5.31651835	1
37222	2016/8/4 21:55	5.643349495	1
20459	2016/8/4 21:57	4.974842946	1
59379	2016/8/4 21:59	5.153538105	12
6646	2016/8/4 22:06	5.584137011	6
87769	2016/8/4 22:06	4.974842946	1
29647	2016/8/4 22:07	4.723016822	1
90577	2016/8/4 22:15	3.862594545	1
9651	2016/8/4 22:17	3.862594545	1
50246	2016/8/4 22:17	4.292650699	1
33158	2016/8/4 22:25	4.723016822	1
78060	2016/8/4 22:27	5.657311097	12
73037	2016/8/4 22:45	6.292054527	1
90395	2016/8/4 23:01	3.862594545	1
3572	2016/8/5 0:19	4.292650699	1
29473	2016/8/5 0:28	5.153538105	12
32940	2016/8/5 0:35	5.584137011	12
87676	2016/8/5 0:44	6.183727411	1
5442	2016/8/5 0:52	3.862594545	1
48437	2016/8/5 1:16	4.455523524	1
66433	2016/8/5 1:18	5.153538105	1
19877	2016/8/5 1:47	3.862594545	1
19687	2016/8/5 2:20	4.292650699	12
76983	2016/8/5 3:30	4.723016822	1
42146	2016/8/5 5:28	5.781982259	1
32940	2016/8/5 5:39	3.862594545	12
40146	2016/8/5 6:13	4.691162849	1
38910	2016/8/5 6:24	4.292650699	3
9441	2016/8/5 6:35	4.974842946	1
12863	2016/8/5 6:39	4.974842946	1
21995	2016/8/5 6:49	5.226703564	1
15956	2016/8/5 6:57	3.862594545	12
426	2016/8/5 6:57	6.384269633	3
15956	2016/8/5 6:57	3.862594545	6
15956	2016/8/5 6:58	3.862594545	12
30784	2016/8/5 7:00	3.862594545	1
79457	2016/8/5 7:11	4.544373396	1
15956	2016/8/5 7:13	3.862594545	12
12505	2016/8/5 7:18	5.07059257	1
61746	2016/8/5 7:20	5.153538105	3
58621	2016/8/5 7:23	5.405415974	1
84258	2016/8/5 7:24	5.722768363	1
59929	2016/8/5 7:28	4.292650699	1
84631	2016/8/5 7:28	4.809815297	12
10286	2016/8/5 7:28	5.405415974	1
26268	2016/8/5 7:39	5.753080438	1
1175	2016/8/5 7:42	5.292153929	1
2547	2016/8/5 7:44	3.862594545	1
30744	2016/8/5 7:50	5.292153929	12
33982	2016/8/5 7:57	3.862594545	1
23747	2016/8/5 7:57	4.8616016	12
84631	2016/8/5 8:09	4.723016822	12
41561	2016/8/5 8:10	5.292153929	1
21416	2016/8/5 8:14	5.034043668	1
59635	2016/8/5 8:25	3.862594545	1
26015	2016/8/5 8:31	3.862594545	1
59434	2016/8/5 8:31	5.153538105	3
85851	2016/8/5 8:33	4.292650699	1
3453	2016/8/5 8:35	3.862594545	1
7419	2016/8/5 8:39	5.722768363	1
69567	2016/8/5 8:41	5.292153929	6
28457	2016/8/5 8:41	5.292153929	12
83325	2016/8/5 8:48	4.974842946	1
